"EVTYPE","STATE","total_f","total_i"
"HEAT","IL",653,241
"TORNADO","AL",617,7929
"TORNADO","TX",538,8207
"TORNADO","MS",450,6244
"TORNADO","MO",388,4330
"TORNADO","AR",379,5116
"TORNADO","TN",368,4748
"EXCESSIVE HEAT","PA",359,320
"EXCESSIVE HEAT","IL",330,352
"TORNADO","OK",296,4829
"EXCESSIVE HEAT","TX",269,13
"TORNADO","IN",252,4224
"TORNADO","MI",243,3362
"TORNADO","KS",236,2721
"TORNADO","IL",203,4145
"TORNADO","OH",191,4438
"EXCESSIVE HEAT","MO",190,3525
"TORNADO","GA",180,3926
"FLASH FLOOD","TX",177,587
"RIP CURRENT","FL",172,149
"TORNADO","FL",161,3340
"TORNADO","LA",153,2637
"TORNADO","NC",126,2536
"TORNADO","KY",125,2806
"LIGHTNING","FL",123,858
"EXCESSIVE HEAT","CA",110,260
"TORNADO","MA",108,1758
"HEAT WAVE","PA",107,5
"RIP CURRENTS","FL",99,98
"TORNADO","MN",99,1976
"TORNADO","WI",96,1601
"EXCESSIVE HEAT","NY",93,1
"EXCESSIVE HEAT","MD",88,461
"TORNADO","PA",82,1241
"TORNADO","IA",81,2208
"FLASH FLOOD","MO",72,36
"EXTREME HEAT","WI",67,0
"EXTREME COLD/WIND CHILL","IL",64,5
"EXCESSIVE HEAT","OK",63,118
"FLASH FLOOD","AZ",62,150
"TORNADO","SC",59,1314
"LIGHTNING","TX",57,248
"EXCESSIVE HEAT","AZ",55,0
"EXCESSIVE HEAT","LA",55,3
"HEAT","NV",54,0
"TORNADO","NE",54,1158
"COLD/WIND CHILL","IL",51,0
"FLASH FLOOD","PA",50,50
"FLASH FLOOD","AR",49,36
"FLOOD","TX",49,6338
"AVALANCHE","CO",48,35
"LIGHTNING","CO",48,260
"AVALANCHE","UT",44,25
"TSTM WIND","TX",42,484
"FLASH FLOOD","KY",40,16
"TSTM WIND","MI",40,322
"EXCESSIVE HEAT","NJ",39,300
"HEAT","MO",39,660
"FLASH FLOOD","NC",38,22
"FLASH FLOOD","NY",38,11
"FLASH FLOOD","CA",36,60
"TORNADO","VA",36,914
"AVALANCHE","WA",35,36
"FLOOD","TN",35,1
"HIGH SURF","CA",35,34
"HURRICANE/TYPHOON","FL",35,802
"FLASH FLOOD","OH",34,24
"FLASH FLOOD","PR",34,2
"FLOOD","PA",34,100
"HIGH WIND","WA",34,73
"AVALANCHE","AK",33,17
"RIP CURRENTS","CA",33,83
"FLASH FLOOD","OK",32,170
"LIGHTNING","OH",32,163
"TSUNAMI","AS",32,129
"WILDFIRE","CA",32,623
"TSTM WIND","AL",31,336
"TSTM WIND","OH",31,221
"LIGHTNING","GA",30,254
"EXCESSIVE HEAT","SC",29,20
"FLASH FLOOD","VA",29,11
"FLOOD","CA",29,19
"HURRICANE","NC",29,16
"LIGHTNING","NC",29,278
"RIP CURRENT","NC",29,9
"UNSEASONABLY WARM AND DRY","PA",29,0
"LIGHTNING","AL",28,154
"EXCESSIVE HEAT","WI",27,36
"FLOOD","GA",27,11
"TSTM WIND","NY",27,278
"HEAT","TX",26,573
"LANDSLIDE","CA",26,15
"LIGHTNING","PA",26,237
"TROPICAL STORM","TX",26,3
"TORNADO","ND",25,326
"TORNADOES, TSTM WIND, HAIL","FL",25,0
"EXCESSIVE HEAT","MS",24,5
"FLASH FLOOD","WV",24,10
"FLOOD","IN",24,9
"HEAT","OK",24,101
"LIGHTNING","LA",24,117
"LIGHTNING","SC",24,105
"WILDFIRE","TX",24,144
"AVALANCHE","WY",23,21
"EXTREME COLD","NC",23,1
"FOG","CA",23,408
"HIGH WIND","CA",22,109
"LIGHTNING","UT",22,50
"LIGHTNING","VA",22,96
"TORNADO","NY",22,315
"EXCESSIVE HEAT","TN",21,1
"HIGH SURF","HI",21,18
"LIGHTNING","MO",21,62
"RIP CURRENT","TX",21,6
"EXCESSIVE HEAT","DC",20,316
"FLASH FLOOD","TN",20,44
"FLOOD","NY",20,7
"FLOOD","OH",20,9
"LIGHTNING","IL",20,69
"RIP CURRENT","GU",20,9
"WINTER STORM","UT",20,415
"EXCESSIVE HEAT","AR",19,1
"EXTREME HEAT","MI",19,0
"FLOOD","KY",19,11
"FLOOD","NC",19,2
"FLOOD","NJ",19,6
"HEAVY RAIN","GU",19,8
"HIGH WIND","NY",19,60
"HIGH WIND","OR",19,50
"HURRICANE","PR",19,1
"LIGHTNING","MI",19,164
"LIGHTNING","TN",19,108
"RIP CURRENT","MI",19,9
"FLASH FLOOD","IN",18,4
"HEAT","TN",18,0
"HEAT WAVE","OH",18,75
"HEAVY RAIN","CA",18,86
"LIGHTNING","AZ",18,98
"RIP CURRENT","AL",18,0
"RIP CURRENT","SC",18,4
"RIP CURRENTS","GU",18,46
"TORNADO","SD",18,452
"TSTM WIND","LA",18,244
"TSTM WIND","PA",18,301
"FLASH FLOOD","AL",17,15
"RECORD/EXCESSIVE HEAT","PA",17,0
"RIP CURRENT","NY",17,1
"WINTER STORM","AZ",17,20
"AVALANCHE","ID",16,9
"EXTREME COLD","MI",16,30
"FLASH FLOOD","GA",16,15
"FLASH FLOOD","KS",16,21
"FLASH FLOOD","NM",16,18
"FLOOD","OR",16,13
"HEAT","AR",16,6
"HEAT","PA",16,4
"HURRICANE/TYPHOON","MS",16,104
"ICE STORM","KS",16,25
"LIGHTNING","MS",16,39
"TSTM WIND","IN",16,207
"WINTER STORM","KS",16,49
"DUST STORM","AZ",15,179
"EXTREME COLD","OH",15,1
"HEAT WAVE","IN",15,0
"ICE STORM","TX",15,30
"LIGHTNING","IN",15,89
"LIGHTNING","NJ",15,156
"RIP CURRENT","NJ",15,13
"THUNDERSTORM WIND","IN",15,72
"TSTM WIND","GA",15,238
"TSTM WIND","IL",15,381
"TSTM WIND","NC",15,170
"WINTER STORM","CA",15,91
"BLIZZARD","GA",14,402
"COLD AND SNOW","CA",14,0
"EXTREME COLD","IL",14,0
"FLASH FLOOD/FLOOD","TX",14,0
"FLOOD","MO",14,4
"LIGHTNING","AR",14,79
"LIGHTNING","NY",14,244
"TSTM WIND","MS",14,216
"EXCESSIVE HEAT","AL",13,23
"EXCESSIVE HEAT","MN",13,0
"EXCESSIVE HEAT","NV",13,0
"EXCESSIVE HEAT","OH",13,0
"FLASH FLOOD","MN",13,37
"FLOOD","IL",13,15
"FLOOD","VA",13,4
"FLOOD","WV",13,1
"HEAVY RAIN","PR",13,10
"HEAVY SNOW","CA",13,57
"LIGHTNING","MD",13,73
"LIGHTNING","OK",13,87
"TSTM WIND","AR",13,188
"TSTM WIND","SC",13,185
"WINTER STORM","IL",13,31
"WINTER STORM","NC",13,191
"EXTREME COLD/WIND CHILL","PA",12,1
"FLASH FLOOD","CO",12,63
"FLASH FLOOD","LA",12,2
"FLASH FLOOD","MD",12,24
"FLOOD","AR",12,6
"FOG","WI",12,0
"HEAT","MD",12,84
"HEAT","SC",12,0
